messageID,id,piece,date_,heure,temperature
1,Capteur1,sejour,2023-06-21,16:00:59,21.11
2,Capteur1,sejour,2023-06-21,16:01:04,21.11
3,Capteur1,sejour,2023-06-21,16:01:09,21.11
4,Capteur1,sejour,2023-06-21,16:01:14,21.11
5,Capteur1,sejour,2023-06-21,16:01:19,21.11
6,Capteur1,sejour,2023-06-21,16:01:24,21.11
7,Capteur1,sejour,2023-06-21,16:09:49,19.66
8,Capteur1,sejour,2023-06-21,16:09:54,19.66
9,Capteur1,sejour,2023-06-21,16:13:49,21.34
10,Capteur1,sejour,2023-06-21,16:13:54,21.34
11,Capteur1,sejour,2023-06-21,16:13:59,21.34
12,Capteur1,sejour,2023-06-21,16:14:04,21.34
13,Capteur1,sejour,2023-06-21,16:14:09,21.34
14,Capteur1,sejour,2023-06-21,16:14:14,21.4
15,Capteur1,sejour,2023-06-21,16:20:34,22.68
16,Capteur1,sejour,2023-06-21,16:20:39,22.68
17,Capteur1,sejour,2023-06-21,16:23:19,22.4
18,Capteur1,sejour,2023-06-21,16:23:24,21.23
19,Capteur1,sejour,2023-06-21,16:25:05,19.18
20,Capteur1,sejour,2023-06-21,16:25:10,19.18
21,Capteur1,sejour,2023-06-21,16:25:15,19.18
22,Capteur1,sejour,2023-06-21,16:25:20,19.18
23,Capteur1,sejour,2023-06-21,16:25:25,19.18
24,Capteur1,sejour,2023-06-21,16:25:30,19.18
25,Capteur1,sejour,2023-06-21,16:25:35,19.18
26,Capteur1,sejour,2023-06-21,16:25:40,19.18
27,Capteur1,sejour,2023-06-21,16:25:45,19.18
28,Capteur1,sejour,2023-06-21,16:25:50,19.18
29,Capteur1,sejour,2023-06-21,16:25:55,19.23
30,Capteur1,sejour,2023-06-21,16:26:00,19.23
31,Capteur1,sejour,2023-06-21,16:26:05,19.23
32,Capteur1,sejour,2023-06-21,16:26:10,19.23
33,Capteur1,sejour,2023-06-21,16:26:15,19.23
34,Capteur1,sejour,2023-06-21,16:26:20,19.23
35,Capteur1,sejour,2023-06-21,16:26:25,19.23
36,Capteur1,sejour,2023-06-21,16:26:30,19.23
37,Capteur1,sejour,2023-06-21,16:26:35,19.23
38,Capteur1,sejour,2023-06-21,16:26:40,19.23
39,Capteur1,sejour,2023-06-21,16:26:45,18.1
40,Capteur1,sejour,2023-06-21,16:26:50,18.1
41,Capteur1,sejour,2023-06-21,16:26:55,18.1
42,Capteur1,sejour,2023-06-21,16:27:00,18.1
43,Capteur1,sejour,2023-06-21,16:27:05,18.1
44,Capteur1,sejour,2023-06-21,16:27:10,18.1
45,Capteur1,sejour,2023-06-21,16:27:15,18.1
46,Capteur1,sejour,2023-06-21,16:27:20,18.1
47,Capteur1,sejour,2023-06-21,16:27:25,18.1
48,Capteur1,sejour,2023-06-21,16:27:30,18.1
49,Capteur1,sejour,2023-06-21,16:27:35,19.06
50,Capteur1,sejour,2023-06-21,16:27:40,19.06
51,Capteur1,sejour,2023-06-21,16:27:45,19.06
52,Capteur1,sejour,2023-06-21,16:27:50,19.06
53,Capteur1,sejour,2023-06-21,16:27:55,19.06
54,Capteur1,sejour,2023-06-21,16:28:00,19.06
55,Capteur1,sejour,2023-06-21,16:40:55,25.25
56,Capteur1,sejour,2023-06-21,16:41:00,25.25
57,Capteur1,sejour,2023-06-21,16:41:05,25.25
